/Users/shreshth/sandbox/myHerupa/pages/updates.html,
1DGFNJrErlRPXozwUqZQNGX7cxilfVt1g,Tutorial Sheets
1VzA6EyZHW1KKeTbEHexYlC-KDkw4dTN8,Notes & Slides
1yxjWvXY9Bu1Drwd4IeADeLMomUuf6jD6,Notes & Slides
1MWKT-yBUruUyqTAO472rQi9OfgR2tUp4,Tutorial Solutions 8
1DnuJYq8qzbyaJeyTBX_tGRBXbct7cPeK,Notes & Slides
1ZoEtnAXv1TfoVB5eysmodv4BfeNb71HQ,Tutorial Solutions
1TaHmWF_i-GbcAJ1dhqic6JYbwfZnvSMh,Notes
1l6z2DqLI1thuFFIpHdBpe1tmepWPg13R,Tutorials
1iNVWQdKSHNXSDruf5jVsYfhqH_xQ_CUu,Tutorial Solutions
1pX285bDribq7DzkbNAGHFwKZrC3bbjnc,Notes
1XwfKVxXEKNX0wzSUMoq0U8tA0xVpLtak,Previous Papers
1sYpHA-HZX7hsNaWH8CnUK2BKk6FRBnoP,Notes & Slides
1sYpHA-HZX7hsNaWH8CnUK2BKk6FRBnoP,Notes & Slides
1UdtqNHXoCtrl2OTCcOPqxjgs4gzHQGG7,Notes
197esjf1NW_qoDOar731gik6WIsh9i5u6,Tutorial Sheets
1JSB5f3hrYqTUqg80_xrNryz9mu-sTiXt,Books
1ag7H_5GvmM4HErdZiNmgxk_EdiAXYNl0,Notes
18LvSQPZDdyLiWmj8obc_rOm-Lfgm77-Q,Tutorials
 third-year/Biotech/bio-infoandbio-stat.html,
"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",Lab
"1n3hPsarZNUZnF7YMrtR8mKU5q-r8hrHN
        ",Notes & Slides
"1Cn4JL_yfZi6QEjaof5yXmvcjX7ZC8dvZ

        ",Previous Year Papers
 third-year/Biotech/biosensors.html,
"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",Lab
"1mpI0WSdhy6vh7B7rcfOU3KgiaHZiTfoR
        ",Notes & Slides
"1Cn4JL_yfZi6QEjaof5yXmvcjX7ZC8dvZ

        ",Previous Year Papers
 third-year/Biotech/animal-biology.html,
"1I_Oen8v2dNZAKcYPqBrXQnuRR4TJIqIw
        ",Lab
"1-4QOnI_OImO7t1pIi2pXrv4vePg8y8I5
        ",Books
"1q_YfUdx9z7Gg1-cwjIqVCbxpMq2uSTcV
        ",Notes & Slides
 third-year/Biotech/bpe.html,
"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",Lab
"13FrFvCeUnzXe8mta6Rt2VY38TFTavHxW
        ",Notes & Slides
"1Cn4JL_yfZi6QEjaof5yXmvcjX7ZC8dvZ

        ",Previous Year Papers
 third-year/Biotech/Humanities.html,
1AlEUVTe50XQ5D5YSpKWBD3IYY5jucDfD,Lab
1A71KmnnJg2GJoU_pSbhkIVoLRI03RDhE,Books
1wSPg1Y9r0f27CNNXrtz3cdVFt8O4DB3l,Notes & Slides
1zFdlrQvCO_RRHgo6DnTgnBmdeS6-lI8J,Previous Year Papers
 third-year/encece/mos.html,
1A5STA-7sm_R2ZSfklawam_f_ep4oyyAs,Books/Lab Material
13vI2235G5NLYPvjfPmEqbhjqhtIMjyul,Previous Year Papers
 third-year/encece/digicomm.html,
1xqBxTUJO8kHeggySFfvuThjaqakMaMe2,Books/Lab Material
1-oZQ48Em6WodZsxMIWXha-a_5Ll8V_c4,Previous Year Papers
 third-year/encece/ipcv.html,
1FAH0AxgXeBcTvea7FCknupeq5iINOC8J,Books
1VUHRM9AgHhQWsLoJNnBn86_AJ75eEQsC,Tutorials
1P2reYTwtYQFlMPvj1snFrGUD1PVWNGfh,Notes & Slides
1oAjNXU6J0j2xoMUXoyzOIGX2UqrWYwiX,Previous Year Papers
 third-year/encece/dsp.html,
1323o8cI0yFY6-2jwXkTBAnKtg7lvOJ5d,Books/Lab Material
1ytfRI1f020K2LXAPEchpbapwhXQvfU8O,Notes & Slides
1PGJ3zNHIGL3Vmr6i7jYzq4__IBFtW1eW,Tutorials
1Iw9JIXBJDcGeawcrUbCnW3G2Oqi5dMYX,Tutorial Solutions
1tss005xVeLC9raPjf6Gq2Tpj8WEM-iYG,Previous Year Papers
 third-year/encece/datacommCN.html,
1NPLmWMjD7u4H7Q7tpWLj_oiNfGdAaehB,Books/Lab Material
1qXbHxpz42TS-fJ_javOYeoaW5AxRBVR0,Notes & Slides
1LkFFHoIFehezlHr-e5ihIhfSjO-xQLCI,Previous Year Papers
 third-year/encece/ml.html,
1odlkfilIMNNdOnM3i7r1x5CzGVCX1r68,Notes & Slides
1doVQ181BrkpVUzUDVb65Jlmff9QhwlZX,Previous Year Papers
 third-year/encece/softcom.html,
 third-year/encece/comparch.html,
17Xv3fEbed-_ee7iVpYyfZiy5zfik2MAz,Syllabus
1pkzndNFJ7noiZYmmlAId_y7glqSZNBFn,Books
174LoioyGMx5_gDcEJpZ1fFvaMb9Lxdfj,Notes & Slides
1ipPJYFjGQMLj1JA71MkSoRKMFcbdUIVl,Tutorials
17uMi0hOt4nDaDGrnwGVpq0km_j-1xHKy,Tutorial Solutions
1-idc0Qanl6QJ43442MGhPsOKJqUja-hM,Previous Year Papers
 third-year/encece/emft.html,
1WR1D477rMLjj5o9T97GICdp_Fv1rM1wU,Syllabus
1pviJ3b0ppi5Bh7LC_ko_ZuLM27DS0QeE,Books
1_Kb1v9j_4XM7KZG8yG5olnaSUOV9BmWh,Notes & Slides
1D15pZLmehUeWcq2ToWbgck-v4bWpZSD_,Tutorials
14ML1F7V3YjkgMzE0IT3Ga7L487hYbbtX,Tutorial Solutions
1IIsqUi7v-ut079pp1GiVKKgHWb1-YeN0,Previous Year Papers
 third-year/encece/acsys.html,
15HrLIG2B995Yd5MRLrXdVKLTgFt6DQOa,Syllabus
