,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME TABLE JULY TO DEC2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                               SECOND YEAR,            SECOND YEAR A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME TABLE JULY TO DEC 2020,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            SECOND YEAR A,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY,SR.NO,HOURS,EIC1,,EIC2,,EIC3,,EIC4,,EIC5,,EIC6,,ELE1,,ELE2,,ELE3,,ELE4,,ELE5,,ELE6,,MEE 1,,MEE 2,,MEE 3,,MEE4,,MEE 5,,MEE 6,,MEE 7,,MEE8,,MEE9,,MEC 1,,MEC 2,,MEC 3,,MPE1,,CHE1,,CHE2,,BT1,,BT2,,COPC1,,COPC 2,,COPC3,,COPC4,,COPC 5,,COPC6,,COPC7,,COPC8,,BME1,,CE1,,CE2,,CE3,,CE4,,CE5,,CE6,,CSBS 1,,CSBS 2,,CSBS 3,
,1,8:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPH010 L,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOM,,,,,,,,,,,,,,,,,,
,2,8:50 AM,,,,,,,,,,,,,UEE505 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMT304 L,,,,,,,,GE (L),,,,UBT301 L,,,,,,,,UCS303P,,UCS303P,,,,,,,,,,UBM008 L,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,,,SGK,,,,,,,,,,,,,,,,,,,,,,,,AMG,,,,,,,,,,OVS,,,,,,,,,,,,,,,,,,SAK,,,,,,,,,,,,,,,,,,
,3,9:40 AM,UEI407 L,,,,,,,,,,,,UEEXXX L T& D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UEIXXX L,,,,,,,,UCH301 L,,,,UBT504 L,,,,,,,,RA2,,RA18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,SS,,,,,,,,,,,,SUM,,,,,,,,,,,,,,,,,,,,,,,,AMG,,,,,,RGU,,,,MKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,10:30 AM,UEE503 L,,,,,,,,,,,,,,,,,,,,,,,,UTA025 L,,,,,,,,,,,,,,,,,,UTA026 L,,,,,,UTA026 L,,,,,,UBT303 L,,,,UCS301L,,,,,,,,,,,,,,,,UMA013 L,,UTA026 L,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,NIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSS,,,,,,VJ,,,,,,VJ,,,,SS,,,,,,,,,,,,,,,,MAK,,ANK,,,,,,,,,,,,SAT,,,,,,
,5,11:20 AM,UHU005 P,,UHU005 P,,UHU005 P,,,,,,,,,,,,,,,,,,,,UES017 L,,,,,,,,,,,,,,,,,,,,,,,,UES017 L,,,,,,,,,,UMA007,,,,,,,,,,,,,,,,UTA024 P,,UES017 L,,,,,,,,,,,,CSBS304L,,,,,
A,,,PKS,,TA4,,TA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KKH,,,,,,,,SHR,,,,,,,,,,,,,,,,,,,,,,,,NK,RA9,,,,,,,,,,,,,SHR,,,,,,KAS
,6,12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,UME308 L,,,,,,,,,,,,UME308 L,,,,,,,,,,,,UME308 L,,,,,,,,,,,,,,,,,,,,,,UCS303P,,UCS303P,,,,UMA035 L,,,,,,,,,,,,CSBS302L,,,,,
Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,,JKS,,,,,,,,JKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MKS,,,,,,TAG
,7,1:00 PM,,,,,,,,,,,,,,,,,UEE505 P,,,,UTA025 P,,,,,,,,,,,,,,,,,,,,,,,,,,UTA024 P,,,,,,,,,,,,,,,,,,,,,,,,RA20,,DIB,,,,,,,,,,,,,,,,,,,,,
