"
      UBT602
    ","
      Bio Infoand Stats
",Lab,third-year,"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",Biotech,bio-infoandbio-stat.html,,,,
"
      UBT602
    ","
      Bio Infoand Stats
",Notes & Slides,third-year,"1n3hPsarZNUZnF7YMrtR8mKU5q-r8hrHN
        ",Biotech,bio-infoandbio-stat.html,,,,
"
      UBT602
    ","
      Bio Infoand Stats
",Previous Year Papers,third-year,"1Cn4JL_yfZi6QEjaof5yXmvcjX7ZC8dvZ

        ",Biotech,bio-infoandbio-stat.html,,,,
"
      UBT508
    ","
      BioSensors
",Lab,third-year,"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",Biotech,biosensors.html,,,,
"
      UBT508
    ","
      BioSensors
",Notes & Slides,third-year,"1mpI0WSdhy6vh7B7rcfOU3KgiaHZiTfoR
        ",Biotech,biosensors.html,,,,
"
      UBT508
    ","
      BioSensors
",Previous Year Papers,third-year,"1Cn4JL_yfZi6QEjaof5yXmvcjX7ZC8dvZ

        ",Biotech,biosensors.html,,,,
"
      UBT601
    ","
      AnimalBiology
",Lab,third-year,"1I_Oen8v2dNZAKcYPqBrXQnuRR4TJIqIw
        ",Biotech,animal-biology.html,,,,
"
      UBT601
    ","
      AnimalBiology
",Books,third-year,"1-4QOnI_OImO7t1pIi2pXrv4vePg8y8I5
        ",Biotech,animal-biology.html,,,,
"
      UBT601
    ","
      AnimalBiology
",Notes & Slides,third-year,"1q_YfUdx9z7Gg1-cwjIqVCbxpMq2uSTcV
        ",Biotech,animal-biology.html,,,,
"
      UBT60
    ","
      Bio ProcessEngineering
",Lab,third-year,"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",Biotech,bpe.html,,,,
"
      UBT60
    ","
      Bio ProcessEngineering
",Notes & Slides,third-year,"13FrFvCeUnzXe8mta6Rt2VY38TFTavHxW
        ",Biotech,bpe.html,,,,
"
      UBT60
    ","
      Bio ProcessEngineering
",Previous Year Papers,third-year,"1Cn4JL_yfZi6QEjaof5yXmvcjX7ZC8dvZ

        ",Biotech,bpe.html,,,,
"
      UHU005
    ","
      Human-ities
",Lab,third-year,1AlEUVTe50XQ5D5YSpKWBD3IYY5jucDfD,Biotech,Humanities.html,,,,
"
      UHU005
    ","
      Human-ities
",Books,third-year,1A71KmnnJg2GJoU_pSbhkIVoLRI03RDhE,Biotech,Humanities.html,,,,
"
      UHU005
    ","
      Human-ities
",Notes & Slides,third-year,1wSPg1Y9r0f27CNNXrtz3cdVFt8O4DB3l,Biotech,Humanities.html,,,,
"
      UHU005
    ","
      Human-ities
",Previous Year Papers,third-year,1zFdlrQvCO_RRHgo6DnTgnBmdeS6-lI8J,Biotech,Humanities.html,,,,
"
      UEC609
    ","
      MOSCiruitDesign
",Books/Lab Material,third-year,1A5STA-7sm_R2ZSfklawam_f_ep4oyyAs,encece,mos.html,,,,
"
      UEC609
    ","
      MOSCiruitDesign
",Previous Year Papers,third-year,13vI2235G5NLYPvjfPmEqbhjqhtIMjyul,encece,mos.html,,,,
"
      UEC607
    ","
      DigitalCommunication
",Books/Lab Material,third-year,1xqBxTUJO8kHeggySFfvuThjaqakMaMe2,encece,digicomm.html,,,,
"
      UEC607
    ","
      DigitalCommunication
",Notes & Slides,third-year,1tpLRp-jHDfBbpWtJgzrUK6lcsbhP0Sgs,encece,digicomm.html,,,,
"
      UEC607
    ","
      DigitalCommunication
",Previous Year Papers,third-year,1-oZQ48Em6WodZsxMIWXha-a_5Ll8V_c4,encece,digicomm.html,,,,
"
      UEC705
    ","
      ImageProcessing&ComputerVision
",Books,third-year,1FAH0AxgXeBcTvea7FCknupeq5iINOC8J,encece,ipcv.html,,,,
"
      UEC705
    ","
      ImageProcessing&ComputerVision
",Tutorials,third-year,1VUHRM9AgHhQWsLoJNnBn86_AJ75eEQsC,encece,ipcv.html,,,,
"
      UEC705
    ","
      ImageProcessing&ComputerVision
",Tutorial Solutions,third-year,1T9641pdpgV07ewoBgmwDF86FSsbn_ZQJ,encece,ipcv.html,,,,
"
      UEC705
    ","
      ImageProcessing&ComputerVision
",Notes & Slides,third-year,1P2reYTwtYQFlMPvj1snFrGUD1PVWNGfh,encece,ipcv.html,,,,
"
      UEC705
    ","
      ImageProcessing&ComputerVision
",Previous Year Papers,third-year,1oAjNXU6J0j2xoMUXoyzOIGX2UqrWYwiX,encece,ipcv.html,,,,
"
      UEC502
    ","
      DigitalSignalProcessing
",Books/Lab Material,third-year,1323o8cI0yFY6-2jwXkTBAnKtg7lvOJ5d,encece,dsp.html,,,,
"
      UEC502
    ","
      DigitalSignalProcessing
",Notes & Slides,third-year,1ytfRI1f020K2LXAPEchpbapwhXQvfU8O,encece,dsp.html,,,,
"
      UEC502
    ","
      DigitalSignalProcessing
",Tutorials,third-year,1PGJ3zNHIGL3Vmr6i7jYzq4__IBFtW1eW,encece,dsp.html,,,,
"
      UEC502
    ","
      DigitalSignalProcessing
",Tutorial Solutions,third-year,1Iw9JIXBJDcGeawcrUbCnW3G2Oqi5dMYX,encece,dsp.html,,,,
"
      UEC502
    ","
      DigitalSignalProcessing
",Previous Year Papers,third-year,1tss005xVeLC9raPjf6Gq2Tpj8WEM-iYG,encece,dsp.html,,,,
"
      UEC706
    ","
      DataCommunication&Computer Networks
",Books/Lab Material,third-year,1NPLmWMjD7u4H7Q7tpWLj_oiNfGdAaehB,encece,datacommCN.html,,,,
"
      UEC706
    ","
      DataCommunication&Computer Networks
",Notes & Slides,third-year,1qXbHxpz42TS-fJ_javOYeoaW5AxRBVR0,encece,datacommCN.html,,,,
"
      UEC706
    ","
      DataCommunication&Computer Networks
",Previous Year Papers,third-year,1LkFFHoIFehezlHr-e5ihIhfSjO-xQLCI,encece,datacommCN.html,,,,
"
      UCS611
    ","
      MachineLearning
",Notes & Slides,third-year,1odlkfilIMNNdOnM3i7r1x5CzGVCX1r68,encece,ml.html,,,,
"
      UCS611
    ","
      MachineLearning
",Previous Year Papers,third-year,1doVQ181BrkpVUzUDVb65Jlmff9QhwlZX,encece,ml.html,,,,
"
      UEC509
    ","
      ComputerArchitecture
",Syllabus,third-year,17Xv3fEbed-_ee7iVpYyfZiy5zfik2MAz,encece,comparch.html,,,,
"
      UEC509
    ","
      ComputerArchitecture
",Books,third-year,1pkzndNFJ7noiZYmmlAId_y7glqSZNBFn,encece,comparch.html,,,,
